iso3c,year,country_name,v2exl_legitideol,v2exl_legitideolcr_0,v2exl_legitideolcr_1,v2exl_legitideolcr_2,v2exl_legitideolcr_3,v2exl_legitideolcr_4,top_ideology,nationalism,country,iso2c,wdi_prop_less_2_usd_day,wdi_gdppc_nominal,wdi_gdppc_ppp,wdi_urban_population_pct,wdi_urban_pop_1m_cities_pct,wdi_gini_index,wdi_life_expectancy_at_birth,wdi_pop_over_65,wdi_pop_under_15,wdi_population,corruption,regime_use_of_ideology_measure,ideology_is_nationalist_percent_of_experts,ideology_is_socialist_or_communist_percent_of_experts,ideology_is_restorative_or_conservative_percent_of_experts,ideology_is_separatist_or_autonomist_percent_of_experts,ideology_is_religious_percent_of_experts
AFG,1901,Afghanistan,-1.568,0.6,0.2,0.2,0.2,0.2,nationalist,1.2560489610019927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.568,0.6,0.2,0.2,0.2,0.2
AFG,1902,Afghanistan,-1.568,0.6,0.2,0.2,0.2,0.2,nationalist,1.2560489610019927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.568,0.6,0.2,0.2,0.2,0.2
AFG,1903,Afghanistan,-1.568,0.6,0.2,0.2,0.2,0.2,nationalist,1.2560489610019927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.568,0.6,0.2,0.2,0.2,0.2
AFG,1904,Afghanistan,-1.568,0.6,0.2,0.2,0.2,0.2,nationalist,1.2560489610019927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.568,0.6,0.2,0.2,0.2,0.2
AFG,1905,Afghanistan,-1.568,0.6,0.2,0.2,0.2,0.2,nationalist,1.2560489610019927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.568,0.6,0.2,0.2,0.2,0.2
AFG,1906,Afghanistan,-1.568,0.6,0.2,0.2,0.2,0.2,nationalist,1.2560489610019927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.568,0.6,0.2,0.2,0.2,0.2
AFG,1907,Afghanistan,-1.568,0.6,0.2,0.2,0.2,0.2,nationalist,1.2560489610019927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.568,0.6,0.2,0.2,0.2,0.2
AFG,1908,Afghanistan,-1.568,0.6,0.2,0.2,0.2,0.2,nationalist,1.2560489610019927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.568,0.6,0.2,0.2,0.2,0.2
AFG,1909,Afghanistan,-1.568,0.6,0.2,0.2,0.2,0.2,nationalist,1.2560489610019927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.568,0.6,0.2,0.2,0.2,0.2
AFG,1910,Afghanistan,-1.568,0.6,0.2,0.2,0.2,0.2,nationalist,1.2560489610019927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.568,0.6,0.2,0.2,0.2,0.2
