date,partyname,countryname,oecdmember,eumember,edate,party,partyabbrev,parfam,coderid,manual,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,dep_immigration,dep_nation,dep_law,dep_cultural,year,party_lab,scale_dep_immigration,scale_dep_nation,scale_dep_law,scale_dep_cultural,nat_scale,nat_scale_v2,nat_scale_v3
1944-09-01,Communist Party of Sweden,Sweden,0,0,1944-09-17,11220,SKP,20,117,0,10.3,0,NA,15,230,1,41,NA,52,0,0,0,0,1944,Communist Party of Sweden | Sweden | 1944,0,0,0,0,0,0,0
1944-09-01,Social Democratic Labour Party,Sweden,0,0,1944-09-17,11320,SAP,30,117,0,46.5,0,NA,115,230,1,41,NA,90,0,0,0,0,1944,Social Democratic Labour Party | Sweden | 1944,0,0,0,0,0,0,0
1944-09-01,People’s Party,Sweden,0,0,1944-09-17,11420,FP,40,117,0,12.9,0,NA,26,230,1,41,NA,63,0,0,0,0,1944,People’s Party | Sweden | 1944,0,0,0,0,0,0,0
1944-09-01,Right Party,Sweden,0,0,1944-09-17,11620,NA,60,117,0,15.8,0,NA,39,230,1,41,NA,57,0,0,0,0,1944,Right Party | Sweden | 1944,0,0,0,0,0,0,0
1944-09-01,Agrarian Party,Sweden,0,0,1944-09-17,11810,NA,80,117,0,13.6,0,NA,35,230,1,41,NA,21,0,0,0,0,1944,Agrarian Party | Sweden | 1944,0,0,0,0,0,0,0
1948-09-01,Communist Party of Sweden,Sweden,0,0,1948-09-19,11220,SKP,20,117,0,6.312,0,NA,8,230,1,10,NA,50,0,0,0,0,1948,Communist Party of Sweden | Sweden | 1948,0,0,0,0,0,0,0
1948-09-01,Social Democratic Labour Party,Sweden,0,0,1948-09-19,11320,SAP,30,117,0,46.132,0,NA,112,230,1,10,NA,120,0,0,0,0,1948,Social Democratic Labour Party | Sweden | 1948,0,0,0,0,0,0,0
1948-09-01,People’s Party,Sweden,0,0,1948-09-19,11420,FP,40,117,0,22.749,0,NA,57,230,1,10,NA,87,0,0,0,0,1948,People’s Party | Sweden | 1948,0,0,0,0,0,0,0
1948-09-01,Right Party,Sweden,0,0,1948-09-19,11620,NA,60,117,0,12.343,0,NA,23,230,1,10,NA,34,0,0,0,0,1948,Right Party | Sweden | 1948,0,0,0,0,0,0,0
1948-09-01,Agrarian Party,Sweden,0,0,1948-09-19,11810,NA,80,117,0,12.385,0,NA,30,230,1,10,NA,140,0,0,0,0,1948,Agrarian Party | Sweden | 1948,0,0,0,0,0,0,0
1952-09-01,Communist Party of Sweden,Sweden,0,0,1952-09-21,11220,SKP,20,117,0,4.34,0,NA,5,230,1,10,NA,91,0,0,0,0,1952,Communist Party of Sweden | Sweden | 1952,0,0,0,0,0,0,0
1952-09-01,Social Democratic Labour Party,Sweden,0,0,1952-09-21,11320,SAP,30,117,0,46.047,0,NA,110,230,1,10,NA,120,0,0,0,0,1952,Social Democratic Labour Party | Sweden | 1952,0,0,0,0,0,0,0
1952-09-01,People’s Party,Sweden,0,0,1952-09-21,11420,FP,40,117,0,24.442,0,NA,58,230,1,10,NA,106,0,0,0,0,1952,People’s Party | Sweden | 1952,0,0,0,0,0,0,0
1952-09-01,Right Party,Sweden,0,0,1952-09-21,11620,NA,60,117,0,14.373,0,NA,31,230,1,10,NA,122,0,0,0,0,1952,Right Party | Sweden | 1952,0,0,0,0,0,0,0
1952-09-01,Agrarian Party,Sweden,0,0,1952-09-21,11810,NA,80,117,0,10.735,0,NA,26,230,1,10,NA,64,0,0,0,0,1952,Agrarian Party | Sweden | 1952,0,0,0,0,0,0,0
1956-09-01,Communist Party of Sweden,Sweden,0,0,1956-09-26,11220,SKP,20,117,0,5.001,0,NA,6,231,1,10,NA,119,0,0,0,0,1956,Communist Party of Sweden | Sweden | 1956,0,0,0,0,0,0,0
1956-09-01,Social Democratic Labour Party,Sweden,0,0,1956-09-26,11320,SAP,30,117,0,44.581,0,NA,106,231,1,10,NA,163,0,0,0,0,1956,Social Democratic Labour Party | Sweden | 1956,0,0,0,0,0,0,0
1956-09-01,People’s Party,Sweden,0,0,1956-09-26,11420,FP,40,117,0,23.807,0,NA,58,231,1,10,NA,146,0,0,0,0,1956,People’s Party | Sweden | 1956,0,0,0,0,0,0,0
1956-09-01,Right Party,Sweden,0,0,1956-09-26,11620,NA,60,117,0,17.108,0,NA,42,231,1,10,NA,118,0,0,0,0,1956,Right Party | Sweden | 1956,0,0,0,0,0,0,0
1956-09-01,Agrarian Party,Sweden,0,0,1956-09-26,11810,NA,80,117,0,9.45,0,NA,19,231,1,10,NA,110,0,0,0,0,1956,Agrarian Party | Sweden | 1956,0,0,0,0,0,0,0
1958-06-01,Communist Party of Sweden,Sweden,0,0,1958-06-01,11220,SKP,20,117,0,3.364,0,NA,5,231,1,10,NA,429,0,0,0,0,1958,Communist Party of Sweden | Sweden | 1958,0,0,0,0,0,0,0
1958-06-01,Social Democratic Labour Party,Sweden,0,0,1958-06-01,11320,SAP,30,117,0,46.216,0,NA,111,231,1,10,NA,600,0,0,0,0,1958,Social Democratic Labour Party | Sweden | 1958,0,0,0,0,0,0,0
1958-06-01,People’s Party,Sweden,0,0,1958-06-01,11420,FP,40,117,0,18.209,0,NA,38,231,1,10,NA,51,0,0,0,0,1958,People’s Party | Sweden | 1958,0,0,0,0,0,0,0
1958-06-01,Right Party,Sweden,0,0,1958-06-01,11620,NA,60,117,0,19.518,0,NA,45,231,1,10,NA,130,0,0,0,0,1958,Right Party | Sweden | 1958,0,0,0,0,0,0,0
1958-06-01,Centre Party,Sweden,0,0,1958-06-01,11810,CP,80,117,0,12.662,0,NA,32,231,1,10,NA,126,0,0,0,0,1958,Centre Party | Sweden | 1958,0,0,0,0,0,0,0
1960-09-01,Communist Party of Sweden,Sweden,0,0,1960-09-18,11220,SKP,20,117,0,4.479,0,NA,5,232,1,10,NA,84,0,0,0,0,1960,Communist Party of Sweden | Sweden | 1960,0,0,0,0,0,0,0
1960-09-01,Social Democratic Labour Party,Sweden,0,0,1960-09-18,11320,SAP,30,117,0,47.789,0,NA,114,232,1,10,NA,389,0,0,0,0,1960,Social Democratic Labour Party | Sweden | 1960,0,0,0,0,0,0,0
1960-09-01,People’s Party,Sweden,0,0,1960-09-18,11420,FP,40,117,0,17.492,0,NA,40,232,1,10,NA,46,0,0,0,0,1960,People’s Party | Sweden | 1960,0,0,0,0,0,0,0
1960-09-01,Right Party,Sweden,0,0,1960-09-18,11620,NA,60,117,0,16.557,0,NA,39,232,1,10,NA,354,0,0,0,0,1960,Right Party | Sweden | 1960,0,0,0,0,0,0,0
1960-09-01,Centre Party,Sweden,0,0,1960-09-18,11810,CP,80,117,0,13.611,0,NA,34,232,1,10,NA,151,0,0,0,0,1960,Centre Party | Sweden | 1960,0,0,0,0,0,0,0
1964-09-01,Communist Party of Sweden,Sweden,10,0,1964-09-20,11220,SKP,20,117,0,5.223,0,NA,8,233,1,10,NA,61,0,0,0,0,1964,Communist Party of Sweden | Sweden | 1964,0,0,0,0,0,0,0
1964-09-01,Social Democratic Labour Party,Sweden,10,0,1964-09-20,11320,SAP,30,117,0,47.269,0,NA,113,233,1,10,NA,1255,0,0,0,0,1964,Social Democratic Labour Party | Sweden | 1964,0,0,0,0,0,0,0
1964-09-01,People’s Party,Sweden,10,0,1964-09-20,11420,FP,40,117,0,16.975,0,NA,42,233,1,10,NA,336,0,0,0,0,1964,People’s Party | Sweden | 1964,0,0,0,0,0,0,0
1964-09-01,Right Party,Sweden,10,0,1964-09-20,11620,NA,60,117,0,13.722,0,NA,32,233,1,10,NA,53,0,0,0,0,1964,Right Party | Sweden | 1964,0,0,0,0,0,0,0
1964-09-01,Centre Party,Sweden,10,0,1964-09-20,11810,CP,80,117,0,13.181,0,NA,33,233,1,10,NA,235,0,0,0,0,1964,Centre Party | Sweden | 1964,0,0,0,0,0,0,0
1968-09-01,Left Communists Party,Sweden,10,0,1968-09-15,11220,VPK,20,117,0,3.006,0,NA,3,233,1,10,NA,206,0,0,0,0,1968,Left Communists Party | Sweden | 1968,0,0,0,0,0,0,0
1968-09-01,Social Democratic Labour Party,Sweden,10,0,1968-09-15,11320,SAP,30,117,0,50.116,0,NA,125,233,1,10,NA,56,0,0,0,0,1968,Social Democratic Labour Party | Sweden | 1968,0,0,0,0,0,0,0
